KOD;NAIM;NAIM_FULL;ADDRESS;COMMENT;
0221;ТОРМ в Ермекеевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Ермекеевском районе;,452190,Башкортостан Респ,Ермекеевский р-н,,Ермекеево с,Ленина ул,20,,;"Код ОКПО:12752260 Режим приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0222;ТОРМ в Зианчуринском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в Зианчуринском районе;,453380,Башкортостан Респ,Зианчуринский р-н,,Исянгулово с,Блюхера пер,7,,;"Код ОКПО:12752171. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0223;ТОРМ в Зилаирском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 37 по Республике Башкортостан в Зилаирском районе;453680, РОССИЯ, Башкортостан Респ, , , с Зилаир, ул Красных Партизан, 48, ,;"Код ОКПО:12752231. Режим приема: понедельник-четверг: 9.00 - 18.00; Пятница: 9.00 - 16.45; Перерыв на обед: 13.00-13.45 Выходные дни: суббота и воскресенье."
0224;ТОРМ в Иглинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 31 по Республике Башкортостан в Иглинском районе;,452410,Башкортостан Респ,Иглинский р-н,,Иглино с,Ленина ул,97,,;"Код ОКПО:31227252. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; Обеденный перерыв с 13.00 до 13.45; третья суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0225;ТОРМ в Илишевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 1 по Республике Башкортостан в Илишевском районе;,452260,Башкортостан Респ,Илишевский р-н,,Верхнеяркеево с,Пушкина ул,17,,;"Код ОКПО: 12752165. Режим приема: понедельник - четверг: 9.00-18.00; пятница: 9.00-16.45; вторая суббота месяца: 10.00-15.00; остальные субботы, воскресенья-выходные дни."
0227;ТОРМ в Калтасинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Калтасинском районе;,452860,Башкортостан Респ,Калтасинский р-н,,Калтасы с,Карла Маркса ул,63,,;"Код ОКПО:12752202. Режим приема: понедельник-четверг: 9.00 - 18.00, пятница: 9.00 - 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0228;ТОРМ в Караидельском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 33 по Республике Башкортостан в Караидельском районе;,452360,Башкортостан Респ,Караидельский р-н,,Караидель с,Калинина ул,2,,;"Код ОКПО:31227298. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; перерыв на обед: 12.30-13.15; суббота, воскресенье: выходные дни."
0229;ТОРМ в Кармаскалинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Кармаскалинском районе;,453020,Башкортостан Респ,Кармаскалинский р-н,,Кармаскалы с,Худайбердина ул,10,,;"Код ОКПО:31227246. Режим приема: понедельник-пятница: 9.00 - 18.00; суббота, воскресенье: выходные дни."
0230;ТОРМ в Кигинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Кигинском районе;,452500,Башкортостан Респ,Кигинский р-н,,Верхние Киги с,Салавата ул,1,,;Код ОКПО:31227281. Режим приема: Каждый четверг: 9.00 - 18.00.
0231;ТОРМ в Краснокамском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Краснокамском районе;,452930,Башкортостан Респ,Краснокамский р-н,,Николо-Березовка с,Маркса ул,5,,;"Код ОКПО:12752202. Режим приема: понедельник-четверг: 9.00 - 18.00, пятница: 9.00 - 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0232;ТОРМ в Кугарчинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в Кугарчинском районе;,453330,Башкортостан Респ,Кугарчинский р-н,,Мраково с,Биишевой ул,78,А,;"Код ОКПО:12752171. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0233;ТОРМ в Куюргазинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в Куюргазинском районе;,453300,Башкортостан Респ,,Кумертау г,,Карла Маркса ул,4а,,;Код ОКПО:12752171
0234;ТОРМ в Кушнаренковском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 1 по Республике Башкортостан в Кушнаренковском районе;,452231,Башкортостан Респ,Кушнаренковский р-н,,Кушнаренково с,Садовая ул,19,,;"Код ОКПО:12752165. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0236;ТОРМ в Мечетлинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Мечетлинском районе;,452550,Башкортостан Респ,Мечетлинский р-н,,Большеустьикинское с,Трактовая ул,11,А,;"Код ОКПО:31227281. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; третья суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0237;ТОРМ в Мишкинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 33 по Республике Башкортостан в Мишкинском районе;,452340,Башкортостан Респ,Мишкинский р-н,,Мишкино с,Мира ул,6,,;"Код ОКПО:31227298. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; перерыв на обед: 13.15-14.00; суббота, воскресенье: выходные дни."
0238;ТОРМ в Миякинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Миякинском районе;,452080,Башкортостан Респ,Миякинский р-н,,Киргиз-Мияки с,Губайдуллина ул,116а,,;"Код ОКПО:12752260. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0239;ТОРМ в Нуримановском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 31 по Республике Башкортостан в Нуримановском районе;,452440,Башкортостан Респ,Нуримановский р-н,,Красная Горка с,Советская ул,60,,;"Код ОКПО:31227252. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; обеденный перерыв с 13.00 до 13.45; третья суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0240;ТОРМ в Салаватском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Салаватском районе;,452490,Башкортостан Респ,Салаватский р-н,,Малояз с,Советская ул,61,,;"Код ОКПО:31227281 Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0241;ТОРМ в Стерлибашевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 3 по Республике Башкортостан в Стерлибашевском районе;,453180,Башкортостан Респ,Стерлибашевский р-н,,Стерлибашево с,К.Маркса ул,109,,;"Код ОКПО:12752001. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
